Estimates;Lower Limit Bootstrap CI;Upper Limit Bootstrap CI
(Intercept);4.46;4.35;4.57
Gender [Male];0.31;0.17;0.46
Outcome [Dead];-0.13;-0.54;0.3
Time [1st term];-0.9;-1.12;-0.69
Time [2nd term];-0.87;-1.17;-0.58
Time [3rd term];-0.57;-0.74;-0.39
Gender [Male]:Time [1st term];0.77;0.5;1.04
Gender [Male]:Time [2nd term];-1.3;-1.73;-0.85
Gender [Male]:Time [3rd term];-0.49;-0.76;-0.23
Outcome [Dead]:Time [1st term];-1.52;-2.05;-1.02
Outcome [Dead]:Time [2nd term];-0.16;-0.78;0.47
Outcome [Dead]:Time [3rd term];-0.62;-1.04;-0.2
tau00id_patient;0.24;NA;NA
sigma2;0.07;NA;NA
ICC;0.78;NA;NA
Nid_patient;237;NA;NA
Observations;1027;NA;NA
