Estimates;Lower Limit Bootstrap CI;Upper Limit Bootstrap CI
(Intercept);5770.39;5176.86;6485.64
Gender [Male];36.82;-846.52;768.58
Outcome [Dead];7930.15;5964.78;10249.58
Time [1st term];7022.67;5182.55;8723.84
Time [2nd term];-8303.35;-10597.48;-5769.6
Time [3rd term];1342.85;-336.23;2964.16
Gender [Male]:Time [1st term];-819.98;-3139.51;1612.09
Gender [Male]:Time [2nd term];3806.37;281.27;7169.57
Gender [Male]:Time [3rd term];79.27;-2427.56;2692.92
Outcome [Dead]:Time [1st term];-346.71;-5182.45;4459.19
Outcome [Dead]:Time [2nd term];-12031.71;-16827.29;-7293.8
Outcome [Dead]:Time [3rd term];2770.94;-831.93;6321.81
tau00id_patient;5239216;NA;NA
sigma2;6474750;NA;NA
ICC;0.45;NA;NA
Nid_patient;237;NA;NA
Observations;1027;NA;NA
